From  2017/07/19-17:12:19 to  2017/07/19-17:12:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:14:19 to  2017/07/19-17:14:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:16:19 to  2017/07/19-17:16:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:18:19 to  2017/07/19-17:18:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:20:19 to  2017/07/19-17:20:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:22:19 to  2017/07/19-17:22:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:24:19 to  2017/07/19-17:24:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:26:19 to  2017/07/19-17:26:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:28:19 to  2017/07/19-17:28:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:30:19 to  2017/07/19-17:30:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:32:19 to  2017/07/19-17:32:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:34:19 to  2017/07/19-17:34:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:36:19 to  2017/07/19-17:36:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:38:19 to  2017/07/19-17:38:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:08:46 to  2017/09/04-00:15:26 the xmit rate from node 8 to node 8 is     500000 bytes/sec, confidence 1.000000.
