From  2017/07/19-16:58:40 to  2017/07/19-16:59:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:00:40 to  2017/07/19-17:01:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:02:40 to  2017/07/19-17:03:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:04:40 to  2017/07/19-17:05:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:06:40 to  2017/07/19-17:07:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:08:40 to  2017/07/19-17:09:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:10:40 to  2017/07/19-17:11:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:12:40 to  2017/07/19-17:13:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:14:40 to  2017/07/19-17:15:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:16:40 to  2017/07/19-17:17:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:18:40 to  2017/07/19-17:19:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:20:40 to  2017/07/19-17:21:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:22:40 to  2017/07/19-17:23:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:24:40 to  2017/07/19-17:25:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:26:40 to  2017/07/19-17:27:07 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:59:03 to  2017/07/19-16:59:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:01:03 to  2017/07/19-17:01:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:03:03 to  2017/07/19-17:03:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:05:03 to  2017/07/19-17:05:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:07:03 to  2017/07/19-17:07:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:09:03 to  2017/07/19-17:09:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:11:03 to  2017/07/19-17:11:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:13:03 to  2017/07/19-17:13:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:15:03 to  2017/07/19-17:15:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:17:03 to  2017/07/19-17:17:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:19:03 to  2017/07/19-17:19:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:21:03 to  2017/07/19-17:21:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:23:03 to  2017/07/19-17:23:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:25:03 to  2017/07/19-17:25:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:27:03 to  2017/07/19-17:27:30 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 8 to node 8 is     500000 bytes/sec, confidence 1.000000.
